lane_name,origin_city,destination_city,baseline_distance_miles,departure_date,departure_hour,day_of_week,actual_miles_driven,fuel_consumed_gallons,fuel_cost_total,mpg_achieved,cost_per_mile,drive_time_hours,avg_speed_mph,weather_conditions,delay_hours,load_weight_lbs,price_per_gallon
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-26,4,Sunday   ,80.38,14.72,53.3,5.46,0.6631,1.23,65.6,Fog,1.56,37014,
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-30,8,Tuesday  ,86.72,12.97,48.63,6.69,0.5608,1.34,64.63,Clear,0.46,29333,
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-08,9,Friday   ,84.51,14.4,54.82,5.87,0.6487,1.32,64.12,Rain,1.69,42850,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-09-25,6,Thursday ,188.04,30.75,114.74,6.12,0.6102,2.94,64.05,Clear,0.53,39928,
Boston-New York,Boston,New York,215.0,2025-09-25,12,Thursday ,218.17,41.6,155.81,5.24,0.7142,3.69,59.19,Snow,1.81,25841,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-08-16,3,Saturday ,369.05,65.57,294.54,5.63,0.7981,5.85,63.13,Rain,1.94,43657,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-26,11,Sunday   ,374.42,58.7,259.51,6.38,0.6931,5.62,66.67,Clear,2.26,37737,
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-09,9,Wednesday,93.3,18.14,68.29,5.14,0.7319,1.44,64.87,Snow,0.53,33922,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-07-20,14,Sunday   ,343.21,53.71,203.73,6.39,0.5936,5.31,64.62,Clear,0.45,28455,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-07-28,8,Monday   ,188.89,31.89,120.99,5.92,0.6405,3.18,59.38,Rain,1.04,43397,3.794
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-17,23,Thursday ,253.95,43.75,163.32,5.8,0.6431,4.3,59.07,Rain,1.01,34918,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-06-26,12,Thursday ,167.1,25.97,90.89,6.43,0.5439,2.69,62.2,Cloudy,0.91,41064,
Seattle-Portland,Seattle,Portland,173.0,2025-09-02,17,Tuesday  ,172.19,25.6,114.77,6.73,0.6665,2.76,62.39,Clear,0.53,42335,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-21,16,Tuesday  ,330.59,60.84,216.83,5.43,0.6559,5.18,63.85,Fog,0.7,43591,
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-16,10,Thursday ,78.83,13.04,50.55,6.05,0.6413,1.32,59.7,Clear,0.93,39136,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-01,8,Friday   ,173.9,29.61,112.33,5.87,0.6459,2.77,62.73,Clear,2.21,28333,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-13,0,Wednesday,41.72,6.61,24.84,6.31,0.5954,0.68,61.21,Partly Cloudy,2.31,25927,
Seattle-Portland,Seattle,Portland,173.0,2025-09-21,13,Sunday   ,180.91,30.64,138.58,5.9,0.766,3.06,59.12,Clear,1.78,42017,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-07-20,4,Sunday   ,86.0,14.48,65.12,5.94,0.7572,1.37,62.72,Cloudy,0.11,33536,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-30,10,Wednesday,214.4,32.67,124.55,6.56,0.5809,3.59,59.78,Clear,2.16,29361,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-07-04,9,Friday   ,39.45,5.97,22.55,6.61,0.5716,0.64,61.45,Clear,0.99,28847,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-06-23,12,Monday   ,255.31,42.11,147.4,6.06,0.5773,3.84,66.54,Clear,0.76,31581,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-09-30,2,Tuesday  ,188.75,28.53,106.46,6.62,0.564,3.12,60.41,Clear,1.98,30362,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-06-29,1,Sunday   ,703.23,98.06,343.21,7.17,0.488,11.0,63.91,Clear,0.3,26676,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-09-15,12,Monday   ,352.78,53.37,200.03,6.61,0.567,5.46,64.63,Partly Cloudy,1.17,36737,3.748
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-26,9,Sunday   ,348.21,53.86,191.96,6.47,0.5513,5.94,58.64,Partly Cloudy,2.15,35672,
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-14,10,Monday   ,221.29,37.34,139.38,5.93,0.6299,3.32,66.67,Partly Cloudy,1.46,35193,3.733
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-09-19,16,Friday   ,40.77,7.12,26.7,5.73,0.6549,0.63,64.87,Rain,1.5,39398,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-01,16,Wednesday,114.98,20.48,76.41,5.61,0.6646,1.75,65.81,Clear,2.03,26953,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-09-10,11,Wednesday,355.89,59.11,222.95,6.02,0.6265,6.0,59.34,Clear,1.4,38404,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-03,20,Friday   ,110.26,16.55,61.75,6.66,0.56,1.72,64.06,Clear,1.0,36212,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-17,3,Friday   ,87.24,14.35,53.39,6.08,0.612,1.32,66.01,Rain,0.01,39723,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-02,19,Tuesday  ,336.72,54.58,203.14,6.17,0.6033,5.49,61.35,Partly Cloudy,1.39,44187,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-20,23,Monday   ,112.5,21.75,77.51,5.17,0.689,1.69,66.68,Fog,2.4,43371,3.564
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-07-20,22,Sunday   ,547.31,90.96,337.74,6.02,0.6171,8.63,63.39,Partly Cloudy,2.48,39593,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-18,15,Saturday ,87.75,13.21,58.95,6.64,0.6718,1.44,60.78,Clear,0.96,35458,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-16,3,Tuesday  ,532.04,118.9,442.54,4.47,0.8318,8.67,61.4,Snow,1.58,41113,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-31,10,Sunday   ,352.54,56.21,209.44,6.27,0.5941,5.28,66.71,Partly Cloudy,2.26,39536,
Memphis-Nashville,Memphis,Nashville,211.0,2025-08-01,11,Friday   ,220.36,33.02,125.27,6.67,0.5685,3.47,63.44,Clear,0.03,37286,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-08-24,8,Sunday   ,725.0,150.77,558.17,4.81,0.7699,12.46,58.19,Fog,0.44,44055,
Boston-New York,Boston,New York,215.0,2025-09-04,9,Thursday ,221.95,46.58,174.68,4.76,0.787,3.31,66.98,Snow,2.24,37362,
San Antonio-Austin,San Antonio,Austin,80.0,2025-07-08,19,Tuesday  ,80.99,14.11,47.73,5.74,0.5893,1.23,65.81,Cloudy,1.98,36570,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-09,7,Saturday ,191.66,32.31,122.51,5.93,0.6392,3.09,61.94,Clear,2.18,27202,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-06,4,Sunday   ,86.35,13.27,50.11,6.51,0.5803,1.36,63.52,Clear,0.85,28880,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-21,11,Thursday ,206.07,33.98,126.86,6.06,0.6156,3.5,58.94,Partly Cloudy,1.63,36305,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-13,23,Saturday ,81.07,12.95,50.97,6.26,0.6287,1.21,66.86,Clear,1.62,29743,
Dallas-Houston,Dallas,Houston,239.0,2025-06-23,16,Monday   ,246.24,43.83,163.27,5.62,0.6631,3.81,64.68,Rain,2.34,39677,3.725
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-23,3,Thursday ,82.1,13.33,48.25,6.16,0.5877,1.29,63.61,Cloudy,2.36,44809,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-05,23,Tuesday  ,116.59,17.76,67.34,6.56,0.5776,1.93,60.4,Clear,0.35,28839,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-10-11,19,Saturday ,737.49,153.46,563.19,4.81,0.7637,11.27,65.45,Fog,2.15,43757,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-21,9,Sunday   ,259.84,36.57,135.66,7.11,0.5221,4.24,61.28,Cloudy,1.91,34518,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-17,3,Friday   ,546.88,82.2,300.67,6.65,0.5498,9.27,58.99,Clear,0.46,31468,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-24,17,Wednesday,256.2,40.61,151.52,6.31,0.5914,4.08,62.75,Clear,0.47,40704,
Memphis-Nashville,Memphis,Nashville,211.0,2025-06-27,20,Friday   ,212.92,31.7,110.95,6.72,0.5211,3.26,65.34,Clear,1.03,36288,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-19,2,Tuesday  ,83.99,15.73,57.31,5.34,0.6823,1.39,60.29,Rain,0.66,42668,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-05,9,Friday   ,113.33,17.14,63.79,6.61,0.5629,1.87,60.72,Clear,0.82,30901,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-18,8,Monday   ,528.57,98.96,371.8,5.34,0.7034,8.72,60.6,Snow,2.02,33986,3.757
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-10,15,Friday   ,112.79,18.17,66.68,6.21,0.5912,1.9,59.45,Clear,2.06,25439,
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-10,2,Wednesday,87.37,14.18,53.47,6.16,0.612,1.38,63.15,Cloudy,2.29,35105,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-13,5,Wednesday,88.54,14.63,65.72,6.05,0.7423,1.51,58.47,Rain,1.45,27380,
New York-Philadelphia,New York,Philadelphia,95.0,2025-10-22,4,Wednesday,94.36,14.55,53.47,6.49,0.5667,1.51,62.52,Clear,2.27,25083,
Boston-New York,Boston,New York,215.0,2025-08-19,10,Tuesday  ,216.34,35.21,131.42,6.14,0.6075,3.63,59.54,Partly Cloudy,0.75,40949,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-09-21,7,Sunday   ,359.08,63.68,238.68,5.64,0.6647,5.5,65.28,Partly Cloudy,0.73,25925,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-18,19,Thursday ,305.15,45.75,206.91,6.67,0.6781,5.06,60.32,Clear,1.61,31812,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-30,9,Tuesday  ,258.79,43.83,163.53,5.9,0.6319,3.99,64.92,Cloudy,1.6,34654,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-20,2,Saturday ,384.59,72.56,328.21,5.3,0.8534,6.0,64.05,Snow,1.46,32038,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-09-22,4,Monday   ,40.84,8.31,31.13,4.91,0.7622,0.69,59.48,Snow,0.52,28082,3.745
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-20,18,Sunday   ,94.2,15.46,58.64,6.09,0.6225,1.55,60.75,Clear,1.85,25973,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-08-17,16,Sunday   ,245.91,46.25,173.3,5.32,0.7047,4.04,60.91,Snow,0.83,31697,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-26,9,Friday   ,307.93,48.77,220.65,6.31,0.7166,4.69,65.6,Partly Cloudy,1.05,30069,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-02,12,Tuesday  ,369.06,58.21,261.04,6.34,0.7073,5.7,64.7,Partly Cloudy,1.53,28439,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-08-05,22,Tuesday  ,743.7,154.18,584.63,4.82,0.7861,11.22,66.3,Snow,0.79,38554,
New York-Philadelphia,New York,Philadelphia,95.0,2025-09-08,20,Monday   ,98.86,20.45,77.13,4.83,0.7802,1.55,63.72,Snow,1.67,37647,3.772
Boston-New York,Boston,New York,215.0,2025-08-31,14,Sunday   ,221.96,32.62,121.55,6.8,0.5476,3.72,59.62,Clear,1.83,33295,
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-31,0,Sunday   ,86.0,12.71,47.35,6.77,0.5506,1.38,62.44,Cloudy,1.64,37114,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-22,11,Friday   ,353.25,69.67,260.09,5.07,0.7363,5.67,62.26,Fog,1.37,27609,
Dallas-Houston,Dallas,Houston,239.0,2025-07-24,22,Thursday ,243.75,38.09,151.4,6.4,0.6211,3.92,62.26,Clear,0.55,37351,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-16,20,Thursday ,255.27,40.93,147.6,6.24,0.5782,3.92,65.15,Clear,1.87,31466,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-17,12,Thursday ,255.88,42.04,156.95,6.09,0.6134,3.91,65.45,Clear,0.74,38027,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-07,13,Tuesday  ,87.29,14.81,55.32,5.89,0.6337,1.31,66.85,Clear,1.61,35274,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-03,10,Sunday   ,90.49,17.8,80.94,5.08,0.8945,1.4,64.48,Snow,0.99,35798,
New York-Philadelphia,New York,Philadelphia,95.0,2025-10-14,13,Tuesday  ,99.63,14.83,55.19,6.72,0.5539,1.58,63.19,Clear,2.12,33533,
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-27,16,Sunday   ,94.55,18.03,68.88,5.24,0.7285,1.48,64.0,Snow,1.32,34185,
Dallas-Houston,Dallas,Houston,239.0,2025-09-14,6,Sunday   ,248.59,47.74,187.95,5.21,0.7561,4.26,58.41,Snow,0.96,25038,
Boston-New York,Boston,New York,215.0,2025-09-09,3,Tuesday  ,223.3,38.21,144.11,5.84,0.6454,3.45,64.71,Rain,1.94,25095,
Seattle-Portland,Seattle,Portland,173.0,2025-08-23,18,Saturday ,174.94,27.43,122.22,6.38,0.6986,2.98,58.68,Partly Cloudy,2.0,39529,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-19,20,Sunday   ,112.02,18.77,67.7,5.97,0.6044,1.91,58.55,Rain,2.17,41450,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-07,10,Tuesday  ,248.62,39.72,145.76,6.26,0.5863,4.2,59.16,Cloudy,2.25,31012,
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-17,3,Thursday ,94.78,17.13,64.96,5.53,0.6854,1.43,66.18,Clear,2.35,42879,
Boston-New York,Boston,New York,215.0,2025-10-22,9,Wednesday,215.32,36.89,135.57,5.84,0.6296,3.54,60.79,Fog,1.55,33640,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-25,13,Thursday ,248.18,51.48,192.07,4.82,0.7739,4.25,58.45,Snow,1.5,31718,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-06,19,Wednesday,191.04,38.31,145.26,4.99,0.7604,3.29,58.0,Snow,1.87,43374,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-19,4,Sunday   ,517.42,100.06,366.0,5.17,0.7074,7.97,64.92,Fog,0.36,27658,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-06,13,Monday   ,86.13,12.73,47.54,6.77,0.552,1.37,62.67,Partly Cloudy,1.16,39212,3.735
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-09-16,20,Tuesday  ,208.21,33.7,126.3,6.18,0.6066,3.36,62.04,Partly Cloudy,2.47,43972,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-21,18,Sunday   ,381.39,71.29,322.43,5.35,0.8454,6.01,63.5,Fog,0.06,34584,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-08,14,Monday   ,113.36,17.35,65.14,6.53,0.5746,1.91,59.44,Clear,2.35,31468,3.754
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-06,22,Monday   ,87.34,17.04,76.66,5.13,0.8777,1.35,64.51,Snow,1.47,41630,4.499
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-06-29,20,Sunday   ,110.12,17.36,60.77,6.34,0.5519,1.88,58.65,Clear,2.03,33405,
New York-Philadelphia,New York,Philadelphia,95.0,2025-08-05,15,Tuesday  ,98.5,16.84,64.12,5.85,0.651,1.5,65.65,Cloudy,2.16,36934,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-02,12,Thursday ,88.17,13.32,49.97,6.62,0.5667,1.44,61.28,Clear,1.19,32593,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-21,7,Monday   ,253.42,41.29,156.68,6.14,0.6183,4.16,60.91,Cloudy,2.3,39837,3.795
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-07-14,19,Monday   ,356.62,52.79,200.21,6.76,0.5614,5.75,62.05,Partly Cloudy,2.0,28652,3.793
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-17,12,Friday   ,110.47,17.39,62.7,6.35,0.5676,1.71,64.65,Clear,1.32,40471,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-23,3,Thursday ,248.96,42.65,152.02,5.84,0.6106,4.2,59.34,Partly Cloudy,2.48,43224,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-17,17,Wednesday,81.81,12.42,61.76,6.59,0.7549,1.22,66.82,Clear,1.85,25228,
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-25,9,Friday   ,221.16,35.27,133.86,6.27,0.6053,3.7,59.71,Partly Cloudy,2.19,43811,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-20,14,Monday   ,260.23,46.22,164.72,5.63,0.633,3.96,65.7,Cloudy,0.8,40058,3.564
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-19,20,Sunday   ,193.82,31.82,114.76,6.09,0.5921,2.98,65.08,Cloudy,1.1,35484,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-11,22,Monday   ,213.3,39.97,150.17,5.34,0.704,3.62,58.98,Fog,1.91,44006,3.757
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-04,2,Thursday ,89.52,15.44,69.25,5.8,0.7736,1.47,60.75,Rain,2.15,37168,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-10-01,10,Wednesday,217.77,32.41,121.53,6.72,0.5581,3.59,60.68,Clear,0.49,30845,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-12,20,Sunday   ,523.75,89.45,328.37,5.86,0.627,7.94,65.98,Clear,1.36,31637,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-14,4,Sunday   ,387.44,59.34,268.99,6.53,0.6943,6.43,60.28,Partly Cloudy,0.0,25402,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-16,22,Saturday ,90.89,13.78,61.89,6.6,0.6809,1.48,61.26,Clear,0.56,30093,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-08,10,Tuesday  ,86.4,13.41,50.48,6.44,0.5843,1.33,64.84,Partly Cloudy,1.33,36642,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-25,3,Saturday ,110.47,17.39,61.97,6.35,0.561,1.83,60.25,Partly Cloudy,1.83,42329,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-23,9,Thursday ,349.49,59.09,217.16,5.91,0.6214,5.76,60.64,Cloudy,2.22,32225,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-09-13,5,Saturday ,344.29,77.36,291.8,4.45,0.8475,5.48,62.78,Snow,2.33,28189,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-07-07,7,Monday   ,300.47,52.0,232.01,5.78,0.7722,4.98,60.33,Clear,2.01,36349,4.462
Seattle-Portland,Seattle,Portland,173.0,2025-07-01,16,Tuesday  ,173.05,26.15,115.62,6.62,0.6681,2.6,66.65,Clear,1.19,31953,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-28,3,Monday   ,116.54,17.23,65.37,6.76,0.5609,1.79,64.93,Cloudy,0.11,31484,3.794
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-27,5,Sunday   ,211.86,31.25,119.39,6.78,0.5635,3.63,58.33,Partly Cloudy,1.2,38899,
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-26,2,Tuesday  ,83.39,13.39,49.9,6.23,0.5984,1.32,63.14,Partly Cloudy,0.88,37376,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-20,2,Sunday   ,85.52,16.39,62.16,5.22,0.7268,1.32,64.63,Rain,0.06,42388,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-08,20,Wednesday,189.68,33.49,122.9,5.66,0.6479,3.02,62.78,Partly Cloudy,1.14,32301,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-15,21,Wednesday,370.01,60.68,270.86,6.1,0.732,6.28,58.88,Clear,1.89,29110,
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-22,9,Tuesday  ,208.66,30.96,117.51,6.74,0.5632,3.54,59.0,Clear,1.12,38117,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-13,18,Saturday ,91.29,18.45,83.63,4.95,0.9161,1.41,64.89,Snow,2.16,26096,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-07-24,7,Thursday ,372.91,65.1,295.69,5.73,0.7929,5.77,64.67,Clear,1.96,33644,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-06-29,4,Sunday   ,311.75,53.58,187.52,5.82,0.6015,5.23,59.66,Rain,1.37,36488,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-07,13,Thursday ,542.71,97.95,371.54,5.54,0.6846,8.24,65.9,Cloudy,1.25,32355,
Seattle-Portland,Seattle,Portland,173.0,2025-10-12,4,Sunday   ,181.4,29.13,131.05,6.23,0.7224,2.99,60.62,Cloudy,0.17,31189,
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-03,9,Friday   ,82.32,13.51,46.1,6.09,0.56,1.42,58.17,Clear,1.68,40336,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-08-12,1,Tuesday  ,252.95,47.86,179.35,5.29,0.709,3.99,63.39,Rain,0.93,42531,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-13,9,Wednesday,306.21,45.66,205.1,6.71,0.6698,5.16,59.37,Clear,0.65,31677,
Seattle-Portland,Seattle,Portland,173.0,2025-08-23,23,Saturday ,177.36,33.86,150.85,5.24,0.8505,2.95,60.11,Fog,2.31,40266,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-10,8,Wednesday,218.91,38.45,144.34,5.69,0.6594,3.28,66.8,Partly Cloudy,0.66,36272,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-07,18,Tuesday  ,88.16,13.8,62.09,6.39,0.7043,1.41,62.6,Clear,0.77,25876,
Dallas-Houston,Dallas,Houston,239.0,2025-10-26,12,Sunday   ,234.48,34.45,124.72,6.81,0.5319,3.86,60.74,Clear,1.05,29388,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-22,11,Friday   ,358.07,56.84,212.18,6.3,0.5926,5.51,65.01,Clear,0.84,25377,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-07-09,21,Wednesday,190.0,31.94,119.24,5.95,0.6276,3.01,63.2,Clear,2.34,43748,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-23,7,Thursday ,301.87,58.47,258.48,5.16,0.8563,5.15,58.66,Fog,0.37,42179,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-05,17,Friday   ,345.59,55.47,206.48,6.23,0.5975,5.56,62.14,Clear,2.42,25903,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-25,12,Friday   ,212.77,34.38,131.35,6.19,0.6173,3.37,63.11,Clear,1.34,35661,
Dallas-Houston,Dallas,Houston,239.0,2025-07-07,10,Monday   ,238.18,36.27,122.69,6.57,0.5151,3.99,59.65,Clear,1.81,38749,3.383
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-15,11,Tuesday  ,344.68,70.11,261.72,4.92,0.7593,5.52,62.42,Snow,1.1,42319,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-08-22,13,Friday   ,245.46,39.0,144.36,6.29,0.5881,3.9,62.95,Partly Cloudy,2.23,25133,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-05,2,Sunday   ,183.55,32.23,120.26,5.7,0.6552,3.1,59.13,Rain,1.94,32889,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-06-26,0,Thursday ,39.86,6.33,22.14,6.3,0.5554,0.61,65.35,Cloudy,1.15,30417,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-09-01,12,Monday   ,212.12,31.74,119.03,6.68,0.5611,3.45,61.54,Clear,1.6,42824,3.75
Seattle-Portland,Seattle,Portland,173.0,2025-09-26,10,Friday   ,178.19,28.06,126.93,6.35,0.7123,2.85,62.59,Clear,1.39,42742,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-27,8,Sunday   ,112.79,16.83,63.87,6.7,0.5663,1.92,58.68,Clear,1.85,39755,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-06-25,0,Wednesday,245.55,44.14,154.49,5.56,0.6292,4.03,60.94,Cloudy,1.6,41078,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-23,2,Thursday ,85.36,14.08,51.73,6.06,0.606,1.39,61.5,Clear,0.0,38986,
Dallas-Houston,Dallas,Houston,239.0,2025-08-23,22,Saturday ,246.56,38.63,140.73,6.38,0.5708,3.99,61.84,Clear,1.5,40073,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-10-18,23,Saturday ,213.28,33.61,125.07,6.35,0.5864,3.26,65.41,Clear,0.1,29467,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-07,8,Tuesday  ,185.18,31.41,115.28,5.9,0.6225,3.12,59.26,Cloudy,0.87,42433,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-22,17,Monday   ,81.48,12.98,47.55,6.28,0.5836,1.4,58.13,Clear,1.67,36405,3.664
Boston-New York,Boston,New York,215.0,2025-07-29,20,Tuesday  ,219.84,35.57,135.58,6.18,0.6167,3.78,58.22,Partly Cloudy,0.65,27799,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-14,8,Thursday ,529.13,80.68,304.65,6.56,0.5758,8.96,59.08,Clear,1.56,44338,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-06-27,4,Friday   ,358.99,54.58,191.04,6.58,0.5322,5.91,60.76,Clear,2.25,41771,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-22,9,Friday   ,185.27,27.45,101.63,6.75,0.5486,2.86,64.69,Clear,0.81,25205,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-24,11,Sunday   ,83.73,14.35,52.29,5.83,0.6245,1.26,66.49,Clear,2.48,39510,
